0.16975 ,1.50000 ,0.00000 ,0.00000 ,16.95000;
0.33900 ,1.50000 ,0.00000 ,0.00000 ,16.90000;
0.50775 ,1.50000 ,0.00000 ,0.00000 ,16.85000;
0.67600 ,1.50000 ,0.00000 ,0.00000 ,16.80000;
0.84375 ,1.50000 ,0.00000 ,0.00000 ,16.75000;
1.01100 ,1.50000 ,0.00000 ,0.00000 ,16.70000;
1.17775 ,1.50000 ,0.00000 ,0.00000 ,16.65000;
1.34400 ,1.50000 ,0.00000 ,0.00000 ,16.60000;
1.50975 ,1.50000 ,0.00000 ,0.00000 ,16.55000;
1.67500 ,1.50000 ,0.00000 ,0.00000 ,16.50000;
1.83975 ,1.50000 ,0.00000 ,0.00000 ,16.45000;
2.00400 ,1.50000 ,0.00000 ,0.00000 ,16.40000;
2.16775 ,1.50000 ,0.00000 ,0.00000 ,16.35000;
2.33100 ,1.50000 ,0.00000 ,0.00000 ,16.30000;
2.49375 ,1.50000 ,0.00000 ,0.00000 ,16.25000;
2.65600 ,1.50000 ,0.00000 ,0.00000 ,16.20000;
2.81775 ,1.50000 ,0.00000 ,0.00000 ,16.15000;
2.97900 ,1.50000 ,0.00000 ,0.00000 ,16.10000;
3.13975 ,1.50000 ,0.00000 ,0.00000 ,16.05000;
3.30000 ,1.50000 ,0.00000 ,0.00000 ,16.00000;
3.45975 ,1.50000 ,0.00000 ,0.00000 ,15.95000;
3.61900 ,1.50000 ,0.00000 ,0.00000 ,15.90000;
3.77775 ,1.50000 ,0.00000 ,0.00000 ,15.85000;
3.93600 ,1.50000 ,0.00000 ,0.00000 ,15.80000;
4.09375 ,1.50000 ,0.00000 ,0.00000 ,15.75000;
4.25100 ,1.50000 ,0.00000 ,0.00000 ,15.70000;
4.40775 ,1.50000 ,0.00000 ,0.00000 ,15.65000;
4.56400 ,1.50000 ,0.00000 ,0.00000 ,15.60000;
4.71975 ,1.50000 ,0.00000 ,0.00000 ,15.55000;
4.87500 ,1.50000 ,0.00000 ,0.00000 ,15.50000;
5.02975 ,1.50000 ,0.00000 ,0.00000 ,15.45000;
5.18400 ,1.50000 ,0.00000 ,0.00000 ,15.40000;
5.33775 ,1.50000 ,0.00000 ,0.00000 ,15.35000;
5.49100 ,1.50000 ,0.00000 ,0.00000 ,15.30000;
5.64375 ,1.50000 ,0.00000 ,0.00008 ,15.25000;
5.79600 ,1.50000 ,0.00002 ,0.00053 ,15.20000;
5.94775 ,1.50000 ,0.00007 ,0.00182 ,15.15000;
6.09900 ,1.50002 ,0.00015 ,0.00169 ,15.10000;
6.24975 ,1.50005 ,0.00025 ,0.00272 ,15.05000;
6.40000 ,1.50010 ,0.00040 ,0.00387 ,15.00000;
6.54975 ,1.50017 ,0.00061 ,0.00513 ,14.95000;
6.69900 ,1.50028 ,0.00088 ,0.00647 ,14.90000;
6.84775 ,1.50043 ,0.00120 ,0.00788 ,14.85000;
6.99600 ,1.50064 ,0.00159 ,0.00933 ,14.80000;
7.14375 ,1.50090 ,0.00205 ,0.01080 ,14.75000;
7.29100 ,1.50124 ,0.00257 ,0.01228 ,14.70000;
7.43775 ,1.50166 ,0.00316 ,0.01376 ,14.65000;
7.58400 ,1.50217 ,0.00381 ,0.01523 ,14.60000;
7.72975 ,1.50277 ,0.00452 ,0.01667 ,14.55000;
7.87499 ,1.50348 ,0.00529 ,0.01779 ,14.50000;
8.01974 ,1.50430 ,0.00611 ,0.01889 ,14.45000;
8.16399 ,1.50525 ,0.00697 ,0.01998 ,14.40000;
8.30774 ,1.50631 ,0.00788 ,0.02113 ,14.35000;
8.45098 ,1.50751 ,0.00884 ,0.02238 ,14.30000;
8.59372 ,1.50884 ,0.00985 ,0.02362 ,14.25000;
8.73597 ,1.51031 ,0.01091 ,0.02482 ,14.20000;
8.87771 ,1.51194 ,0.01203 ,0.02607 ,14.15000;
9.01895 ,1.51372 ,0.01319 ,0.02733 ,14.10000;
9.15968 ,1.51566 ,0.01441 ,0.02871 ,14.05000;
9.29992 ,1.51776 ,0.01568 ,0.03006 ,14.00000;
9.43965 ,1.52005 ,0.01701 ,0.03136 ,13.95000;
9.57888 ,1.52251 ,0.01839 ,0.03272 ,13.90000;
9.71760 ,1.52516 ,0.01982 ,0.03413 ,13.85000;
9.85582 ,1.52800 ,0.02132 ,0.03561 ,13.80000;
9.99354 ,1.53104 ,0.02287 ,0.03724 ,13.75000;
10.13075 ,1.53429 ,0.02449 ,0.03879 ,13.70000;
10.26746 ,1.53775 ,0.02616 ,0.04025 ,13.65000;
10.40366 ,1.54143 ,0.02790 ,0.04176 ,13.60000;
10.53935 ,1.54533 ,0.02969 ,0.04320 ,13.55000;
10.67454 ,1.54947 ,0.03154 ,0.04492 ,13.50000;
10.80922 ,1.55385 ,0.03345 ,0.04654 ,13.45000;
10.94339 ,1.55847 ,0.03543 ,0.04805 ,13.40000;
11.07705 ,1.56334 ,0.03746 ,0.04965 ,13.35000;
11.21020 ,1.56846 ,0.03955 ,0.05112 ,13.30000;
11.34284 ,1.57385 ,0.04170 ,0.05293 ,13.25000;
11.47497 ,1.57951 ,0.04392 ,0.05502 ,13.20000;
11.60658 ,1.58544 ,0.04622 ,0.05697 ,13.15000;
11.73769 ,1.59166 ,0.04859 ,0.05881 ,13.10000;
11.86827 ,1.59817 ,0.05103 ,0.06075 ,13.05000;
11.99835 ,1.60497 ,0.05353 ,0.06245 ,13.00000;
12.12790 ,1.61208 ,0.05611 ,0.06475 ,12.95000;
12.25694 ,1.61950 ,0.05877 ,0.06690 ,12.90000;
